src,question,real_answer
People_077_v.jpg,Did the picture show a woman?,true
People_235_h.jpg,Did the photo show architecture?,false
People_117_h.jpg,Did the photo show a street?,true
People_074_v.jpg,Did the photo show animal?,false
People_175_h.jpg,Did the photo show a skate?,true
People_222_h.jpg,Did the photo show a garlic?,false
People_079_h.jpg,Did the photo show sickle?,true
People_242_v.jpg,Did the photo show a room?,false
People_105_h.jpg,Did the photo show architecture?,true
People_206_h.jpg,Did the photo show a gramophone?,false
People_199_v.jpg,Did the photo show a surgery?,true
People_045_h.jpg,Did the photo show a bike?,false
People_201_v.jpg,Did the photo show people?,true
People_158_h.jpg,Did the photo show a sunset?,false
People_207_v.jpg,Did the photo show people?,true
People_040_h.jpg,Did the photo show no person?,false
People_167_h.jpg,Did the photo show people?,true
People_067_h.jpg,Did the photo show a dog?,false
People_069_h.jpg,Did the photo show a market?,true
People_208_h.jpg,Did the photo show pollution?,false